,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_,_,_
78,2011Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,Tata,3 Lakh*,2011,Individual,"30,000 kms",First Owner,Diesel,Manual,Mileage18.4 kmpl,Engine1248 CC,Max Power75 bhp,Torque190Nm@ 1750rpm,Wheel SizeN/A,Seats5,,,
79,2016Tata Indica Vista TDI LX,Tata,1.7 Lakh*,2016,Individual,"1,20,000 kms",Second Owner,Diesel,Manual,Mileage19.1 kmpl,Engine1405 CC,Max Power70 bhp,Torque135.4Nm@ 2500rpm,Wheel Size14,Seats5,,,
80,2007Tata Indica GLS BS IV,Tata,1.5 Lakh*,2007,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage15.3 kmpl,Engine1193 CC,Max Power65.3 bhp,Torque102Nm@ 2600rpm,Wheel Size4.5J x 13,Seats5,,,
81,2012Tata Nano Lx BSIV,Tata,"90,000*",2012,Individual,"35,000 kms",Second Owner,Petrol,Manual,Mileage25.4 kmpl,Engine624 CC,Max Power37.48 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12 x 4 B,Seats4,,,
82,2010Tata Nano Lx,Tata,"75,000*",2010,Individual,"64,000 kms",First Owner,Petrol,Manual,Mileage26.0 kmpl,Engine624 CC,Max Power35 bhp,Torque4.8kgm@ 3000rpm,Wheel SizeN/A,Seats4,,,
83,2010Tata New Safari Dicor EX 4X2,Tata,3.95 Lakh*,2010,Dealer,"1,02,000 kms",Second Owner,Diesel,Manual,Mileage13.93 kmpl,Engine2179 CC,Max Power138.1 bhp,Torque320Nm@ 1700-2700rpm,Wheel SizeN/A,Seats7,,,
84,2005Tata Indigo GLX,Tata,"96,000*",2005,Individual,"80,000 kms",Fourth & Above Owner,Petrol,Manual,Mileage12.8 kmpl,Engine1396 CC,Max Power85 bhp,"Torque12@ 3,500(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
85,2012Tata Safari DICOR 2.2 EX 4x2,Tata,4 Lakh*,2012,Individual,"70,000 kms",Third Owner,Diesel,Manual,Mileage13.93 kmpl,Engine2179 CC,Max Power138.03 bhp,Torque320Nm@ 1700-2700rpm,Wheel Size16,Seats7,,,
86,2012Tata Nano Lx BSIV,Tata,"70,000*",2012,Individual,"80,000 kms",First Owner,Petrol,Manual,Mileage25.4 kmpl,Engine624 CC,Max Power37.48 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12 x 4 B,Seats4,,,
87,2012Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2 Lakh*,2012,Individual,"1,10,000 kms",Third Owner,Diesel,Manual,Mileage21.12 kmpl,Engine1248 CC,Max Power88.8 bhp,Torque200Nm@ 1750-3000rpm,Wheel Size5.5J x 15,Seats5,,,
88,2013Tata Nano LX,Tata,"90,000*",2013,Individual,"80,000 kms",Second Owner,Petrol,Manual,Mileage25.4 kmpl,Engine624 CC,Max Power37.48 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12,Seats4,,,
89,2005Tata Sumo SA,Tata,1.5 Lakh*,2005,Individual,"1,20,000 kms",Fourth & Above Owner,Diesel,Manual,Mileage14.07 kmpl,Engine2956 CC,Max Power83.1 bhp,Torque250Nm@ 1600-2000rpm,Wheel SizeN/A,Seats7,,,
90,2017Tata Tiago 1.2 Revotron XZA,Tata,5.45 Lakh*,2017,Dealer,"12,843 kms",Second Owner,Petrol,Automatic,Variant -  1.2 Revotron XZA,Mileage23.84 kmpl,Engine1199 CC,Max Power83.83 bhp,Torque114Nm@ 3500rpm,Wheel SizeN/A,Seats5,,
91,2018Toyota Innova Crysta 2.8 GX AT 8S BSIV,Toyota,18.75 Lakh*,2018,Dealer,"18,500 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats8,,,
92,2018Toyota Corolla Altis 1.8 G,Toyota,14 Lakh*,2018,Dealer,"13,534 kms",First Owner,Petrol,Manual,Variant -  1.8 G,Mileage14.28 kmpl,Engine1798 CC,Max Power138.03 bhp,Torque173Nm@ 4000rpm,Wheel SizeN/A,Seats5,,
93,2018Toyota Innova Crysta 2.8 ZX AT BSIV,Toyota,21 Lakh*,2018,Dealer,"53,838 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
94,2017Toyota Innova Crysta 2.4 VX MT BSIV,Toyota,18.25 Lakh*,2017,Dealer,"32,877 kms",First Owner,Diesel,Manual,Variant -  2.4 VX MT BSIV,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Torque343Nm@ 1400-2800rpm,Wheel SizeN/A,Seats7,,
95,2016Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,15.5 Lakh*,2016,Dealer,"80,000 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
96,2016Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,17 Lakh*,2016,Dealer,"33,120 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats7,,,
97,2016Toyota Fortuner 2.8 2WD AT BSIV,Toyota,29 Lakh*,2016,Dealer,"73,000 kms",First Owner,Diesel,Automatic,Mileage12.9 kmpl,Engine2755 CC,Max Power174.5 bhp,Torque450Nm@ 1600-2400rpm,Wheel SizeN/A,Seats7,,,
98,2016Toyota Innova Crysta 2.8 GX AT 8S BSIV,Toyota,17.25 Lakh*,2016,Dealer,"33,977 kms",First Owner,Diesel,Automatic,Mileage11.36 kmpl,Engine2755 CC,Max Power171.5 bhp,Torque360Nm@ 1200-3400rpm,Wheel SizeN/A,Seats8,,,
