,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_,_,_
391,2015Ford Ecosport 1.0 Ecoboost Titanium,Ford,6.85 Lakh*,2015,Dealer,"17,000 kms",Second Owner,Petrol,Manual,Mileage18.88 kmpl,Engine999 CC,Max Power123.37 bhp,Torque170Nm@ 1400-4500rpm,Wheel SizeN/A,Seats5,,,
392,2010Ford Fiesta EXi 1.4 TDCi Ltd,Ford,2 Lakh*,2010,Dealer,"14,900 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1399 CC,Max Power68 bhp,"Torque16.3@ 2,000(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
393,2015Ford Ecosport 1.5 Ti VCT MT Ambiente,Ford,6.25 Lakh*,2015,Dealer,"39,893 kms",Second Owner,Petrol,Manual,Mileage15.8 kmpl,Engine1499 CC,Max Power110 bhp,Torque140Nm@ 4400rpm,Wheel Size15,Seats5,,,
394,2017Ford Ecosport 1.5 Ti VCT MT Titanium,Ford,9.43 Lakh*,2017,Dealer,"27,000 kms",First Owner,Petrol,Manual,Mileage15.8 kmpl,Engine1499 CC,Max Power110 bhp,Torque140Nm@ 4400rpm,Wheel SizeN/A,Seats5,,,
395,2016Ford Ecosport 1.5 Ti VCT MT Titanium,Ford,7.5 Lakh*,2016,Dealer,"26,121 kms",Second Owner,Petrol,Manual,Mileage15.8 kmpl,Engine1499 CC,Max Power110 bhp,Torque140Nm@ 4400rpm,Wheel SizeN/A,Seats5,,,
396,2015Ford Ecosport 1.0 Ecoboost Titanium Optional,Ford,7.88 Lakh*,2015,Dealer,"33,000 kms",First Owner,Petrol,Manual,Mileage18.88 kmpl,Engine999 CC,Max Power123.37 bhp,Torque170Nm@ 1400-4500rpm,Wheel SizeN/A,Seats5,,,
397,2016Ford Figo Titanium Diesel,Ford,6.1 Lakh*,2016,Dealer,"23,000 kms",First Owner,Diesel,Manual,Mileage24.4 kmpl,Engine1499 CC,Max Power98.96 bhp,Torque215Nm@ 1750-2500rpm,Wheel SizeN/A,Seats5,,,
398,2011Ford Figo Diesel Titanium,Ford,3.65 Lakh*,2011,Dealer,"47,661 kms",First Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
399,2010Ford Figo 1.2P Titanium MT,Ford,2.75 Lakh*,2010,Dealer,"52,000 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Torque112Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
400,2018Ford Freestyle Titanium Plus Diesel,Ford,8.25 Lakh*,2018,Dealer,"29,000 kms",First Owner,Diesel,Manual,Mileage23.8 kmpl,Engine1498 CC,Max Power98.63 bhp,Torque215Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5,,,
401,2018Ford Endeavour 3.2 Titanium AT 4X4,Ford,33.5 Lakh*,2018,Dealer,"27,000 kms",First Owner,Diesel,Automatic,Mileage10.91 kmpl,Engine3198 CC,Max Power197 bhp,Torque470Nm@ 1750-2500rpm,Wheel SizeN/A,Seats7,,,
402,2013Ford Fiesta Diesel Titanium Plus,Ford,2.5 Lakh*,2013,Dealer,"1,25,454 kms",First Owner,Diesel,Manual,Mileage23.5 kmpl,Engine1498 CC,Max Power88.7 bhp,Torque204Nm@ 2000-2750rpm,Wheel SizeN/A,Seats5,,,
403,2017Ford EcoSport 1.5 Diesel Titanium BSIV,Ford,9.25 Lakh*,2017,Dealer,"26,000 kms",First Owner,Diesel,Manual,Mileage23.0 kmpl,Engine1498 CC,Max Power98.96 bhp,Torque205Nm@ 1750-3250rpm,Wheel SizeN/A,Seats5,,,
404,2006Ford Ikon 1.3 Flair,Ford,1.35 Lakh*,2006,Dealer,"63,000 kms",Second Owner,Petrol,Manual,Mileage13.8 kmpl,Engine1299 CC,Max Power70 bhp,"Torque10.7@ 2,500(kgm@ rpm)",Wheel Size13 x 5 1/2 JJ,Seats5,,,
405,2016Ford Mustang V8,Ford,64 Lakh*,2016,Dealer,"24,000 kms",First Owner,Petrol,Automatic,Mileage13.0 kmpl,Engine4951 CC,Max Power395 bhp,Torque515Nm@ 4250+-50rpm,Wheel SizeN/A,Seats4,,,
406,2006Ford Fiesta 1.6 ZXI Duratec,Ford,1.85 Lakh*,2006,Dealer,"1,19,166 kms",Second Owner,Petrol,Manual,Mileage15.3 kmpl,Engine1596 CC,Max Power101 bhp,"Torque14.9@ 3,400(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
407,2013Ford Fiesta Titanium 1.5 TDCi,Ford,4.09 Lakh*,2013,Dealer,"78,000 kms",First Owner,Diesel,Manual,Mileage23.5 kmpl,Engine1498 CC,Max Power90 bhp,Torque204Nm@ 2000-2750rpm,Wheel SizeN/A,Seats5,,,
408,2011Ford Fiesta Classic 1.6 Duratec CLXI,Ford,4.13 Lakh*,2011,Dealer,"77,000 kms",First Owner,Petrol,Manual,Mileage15.3 kmpl,Engine1596 CC,Max Power99.6 bhp,Torque146Nm@ 3400rpm,Wheel SizeN/A,Seats5,,,
409,2013Ford Endeavour 2.5L 4X2,Ford,11.5 Lakh*,2013,Dealer,"90,000 kms",First Owner,Diesel,Manual,Mileage13.1 kmpl,Engine2499 CC,Max Power141 bhp,Torque330Nm@ 1800rpm,Wheel SizeN/A,Seats7,,,
410,2016Ford Ecosport 1.5 Ti VCT AT Titanium,Ford,8.5 Lakh*,2016,Dealer,"61,000 kms",First Owner,Petrol,Automatic,Mileage16.5 kmpl,Engine1499 CC,Max Power110 bhp,Torque140Nm@ 4400rpm,Wheel SizeN/A,Seats5,,,
411,2014Ford Endeavour 3.0L 4X4 AT,Ford,12.65 Lakh*,2014,Dealer,"74,000 kms",First Owner,Diesel,Automatic,Mileage11.4 kmpl,Engine2953 CC,Max Power153.86 bhp,Torque380Nm@ 2500rpm,Wheel SizeN/A,Seats7,,,
412,2012Ford Figo Diesel Titanium,Ford,3.45 Lakh*,2012,Dealer,"65,639 kms",Second Owner,Diesel,Manual,Variant -  Diesel Titanium,Mileage20.0 kmpl,Engine1399 CC,Max Power68.05 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,
413,2013Ford Ecosport 1.5 Diesel Titanium,Ford,6.15 Lakh*,2013,Dealer,"68,000 kms",Second Owner,Diesel,Manual,Mileage21.7 kmpl,Engine1498 CC,Max Power98.96 bhp,Torque215Nm@ 1750-2500rpm,Wheel SizeN/A,Seats5,,,
414,2015Ford Figo 1.5D Ambiente MT,Ford,4.9 Lakh*,2015,Dealer,"93,000 kms",Second Owner,Diesel,Manual,Mileage25.83 kmpl,Engine1498 CC,Max Power99 bhp,Torque215Nm@ 1750-3000rpm,Wheel Size14,Seats5,,,
415,2013Ford Endeavour 2.5L 4X2 MT,Ford,11 Lakh*,2013,Dealer,"90,001 kms",Second Owner,Diesel,Manual,Mileage13.1 kmpl,Engine2499 CC,Max Power141 bhp,Torque330Nm@ 1800rpm,Wheel SizeN/A,Seats7,,,
416,2018Ford EcoSport 1.5 Petrol Titanium BSIV,Ford,9.5 Lakh*,2018,Individual,"23,000 kms",First Owner,Petrol,Manual,Variant - Ford EcoSport 1.5 Petrol Titanium BSIV,Mileage17.0 kmpl,Engine1497 CC,Max Power121.31 bhp,Torque150Nm@ 4500rpm,Wheel SizeN/A,Seats5,,
417,2016Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,9 Lakh*,2016,Individual,"20,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel SizeN/A,Seats5,,,
418,2017Ford Endeavour 3.2 Titanium AT 4X4,Ford,29 Lakh*,2017,Dealer,"24,000 kms",Second Owner,Diesel,Automatic,Mileage10.91 kmpl,Engine3198 CC,Max Power197 bhp,Torque470Nm@ 1750-2500rpm,Wheel SizeN/A,Seats7,,,
419,2010Ford Figo Petrol ZXI,Ford,2.38 Lakh*,2010,Individual,"51,300 kms",First Owner,Petrol,Manual,Mileage15.6 kmpl,Engine1196 CC,Max Power70 bhp,Torque102Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
420,2015Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,7 Lakh*,2015,Individual,"90,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel SizeN/A,Seats5,,,
421,2015Ford EcoSport 1.5 TDCi Ambiente BSIV,Ford,6 Lakh*,2015,Individual,"60,000 kms",Second Owner,Diesel,Manual,Variant - Ford EcoSport 1.5 TDCi Ambiente BSIV,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel Size15,Seats5,,
422,2015Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,7.3 Lakh*,2015,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel SizeN/A,Seats5,,,
423,2012Ford Figo Diesel ZXI,Ford,3.37 Lakh*,2012,Individual,"54,300 kms",First Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
424,2016Ford EcoSport 1.5 TDCi Trend Plus BSIV,Ford,6.8 Lakh*,2016,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel Size15,Seats5,,,
425,2015Ford EcoSport 1.5 TDCi Trend BSIV,Ford,7.2 Lakh*,2015,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel Size15,Seats5,,,
426,2010Ford Figo Petrol LXI,Ford,2.5 Lakh*,2010,Dealer,"23,000 kms",First Owner,Petrol,Manual,Mileage15.6 kmpl,Engine1196 CC,Max Power70 bhp,Torque102Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
427,2016Ford EcoSport 1.5 Ti VCT MT Trend BSIV,Ford,6.2 Lakh*,2016,Individual,"80,000 kms",Second Owner,Petrol,Manual,Mileage15.85 kmpl,Engine1499 CC,Max Power110.4 bhp,Torque140Nm@ 4400rpm,Wheel Size15,Seats5,,,
428,2012Ford Figo Diesel ZXI,Ford,3.25 Lakh*,2012,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
429,2010Ford Figo Diesel Titanium,Ford,2.9 Lakh*,2010,Individual,"80,000 kms",Second Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
430,2017Ford Endeavour 3.2 Titanium AT 4X4,Ford,29 Lakh*,2017,Individual,"33,000 kms",Second Owner,Diesel,Automatic,Mileage10.91 kmpl,Engine3198 CC,Max Power197 bhp,Torque470Nm@ 1750-2500rpm,Wheel SizeN/A,Seats7,,,
431,2014Ford Figo Diesel EXI,Ford,2.9 Lakh*,2014,Individual,"1,08,000 kms",First Owner,Diesel,Manual,Variant -  Diesel EXI,Mileage20.0 kmpl,Engine1399 CC,Max Power68.05 bhp,Torque160Nm@ 2000rpm,Wheel Size14,Seats5,,
432,2020Ford Freestyle Titanium,Ford,7 Lakh*,2020,Individual,"5,000 kms",First Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1194 CC,Max Power95.67 bhp,Torque119@ 4250rpm,Wheel SizeN/A,Seats5,,,
433,2018Ford EcoSport 1.5 Diesel Titanium BSIV,Ford,9.8 Lakh*,2018,Dealer,"18,000 kms",First Owner,Diesel,Manual,Mileage23.0 kmpl,Engine1498 CC,Max Power98.96 bhp,Torque205Nm@ 1750-3250rpm,Wheel SizeN/A,Seats5,,,
434,2012Ford Fiesta Diesel Trend,Ford,3.5 Lakh*,2012,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage23.5 kmpl,Engine1498 CC,Max Power90 bhp,Torque204Nm@ 2000-2750rpm,Wheel SizeN/A,Seats5,,,
435,2015Ford Figo Diesel Titanium,Ford,4.38 Lakh*,2015,Individual,"30,000 kms",Third Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68.05 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
436,2012Ford Fiesta Classic 1.4 Duratorq CLXI,Ford,2.8 Lakh*,2012,Individual,"1,00,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1399 CC,Max Power67 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
437,2012Ford Figo Diesel EXI,Ford,2 Lakh*,2012,Individual,"1,13,000 kms",Fourth & Above Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Torque160Nm@ 2000rpm,Wheel Size14,Seats5,,,
438,2010Ford Figo Diesel Titanium,Ford,2.45 Lakh*,2010,Dealer,"94,000 kms",Second Owner,Diesel,Manual,Mileage20.0 kmpl,Engine1399 CC,Max Power68 bhp,Torque160Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
439,2016Ford Figo Aspire 1.5 TDCi Titanium,Ford,4.95 Lakh*,2016,Dealer,"69,782 kms",First Owner,Diesel,Manual,Car Details,Original RC,KM Reading,Mileage25.83 kmpl,Engine1498 CC,Max Power99 bhp,Torque215Nm@ 1750-3000rpm,Wheel SizeN/A,Seats5
440,2014Ford Endeavour 3.0L 4X2 AT,Ford,12.75 Lakh*,2014,Dealer,"73,000 kms",First Owner,Diesel,Automatic,Mileage11.4 kmpl,Engine2953 CC,Max Power153.86 bhp,Torque380Nm@ 2500rpm,Wheel SizeN/A,Seats7,,,
441,2004Ford Ikon 1.3 Flair,Ford,1.25 Lakh*,2004,Individual,"10,000 kms",Second Owner,Petrol,Manual,Mileage13.8 kmpl,Engine1299 CC,Max Power70 bhp,"Torque10.7@ 2,500(kgm@ rpm)",Wheel Size13 x 5 1/2 JJ,Seats5,,,
442,2018Ford EcoSport 1.5 Petrol Titanium BSIV,Ford,9.5 Lakh*,2018,Individual,"6,500 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1497 CC,Max Power121.31 bhp,Torque150Nm@ 4500rpm,Wheel SizeN/A,Seats5,,,
443,2015Ford EcoSport 1.5 TDCi Trend BSIV,Ford,6.5 Lakh*,2015,Individual,"35,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel Size15,Seats5,,,
444,2013Ford Fiesta Titanium 1.5 TDCi,Ford,4.35 Lakh*,2013,Dealer,"78,000 kms",First Owner,Diesel,Manual,Mileage23.5 kmpl,Engine1498 CC,Max Power90 bhp,Torque204Nm@ 2000-2750rpm,Wheel SizeN/A,Seats5,,,
